"지역별","리히터규모별",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"계","계",41,49,38,42,37,50,42,46,60,42,52,56,93,49,44,252,223,115,88
"계","ML≥5",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0
"계","5> ML≥4",1,1,2,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,2
"계","4＞ML≥3",6,10,6,5,14,7,1,9,9,5,13,9,15,7,5,30,17,4,12
"계","3＞ML≥2",34,38,29,36,22,43,40,36,50,37,38,47,75,41,39,218,204,110,74
"서울·경기·인천","계",1,1,0,2,0,0,0,4,1,1,0,0,1,2,1,1,1,1,4
"서울·경기·인천","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서울·경기·인천","5> ML≥4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서울·경기·인천","4＞ML≥3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"서울·경기·인천","3＞ML≥2",1,1,0,2,0,0,0,4,1,0,0,0,1,1,1,1,1,1,4
"부산·울산·경남","계",2,5,1,3,0,4,2,2,2,0,0,2,2,0,1,6,5,1,5
"부산·울산·경남","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산·울산·경남","5> ML≥4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산·울산·경남","4＞ML≥3",0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"부산·울산·경남","3＞ML≥2",2,3,1,3,0,4,2,2,2,0,0,1,1,0,1,6,5,1,3
"대구·경북","계",8,4,8,4,3,2,5,3,10,5,4,11,6,10,6,179,121,35,11
"대구·경북","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"대구·경북","5> ML≥4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
"대구·경북","4＞ML≥3",3,0,2,1,0,0,0,0,1,0,1,0,1,2,0,21,9,0,1
"대구·경북","3＞ML≥2",5,4,6,3,3,2,5,3,8,5,3,11,5,8,6,155,110,34,10
"광주·전남","계",3,5,1,0,1,0,1,0,1,2,0,1,1,2,1,1,6,2,0
"광주·전남","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주·전남","5> ML≥4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주·전남","4＞ML≥3",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"광주·전남","3＞ML≥2",3,4,1,0,1,0,1,0,0,2,0,1,0,1,1,1,5,2,0
"전북","계",4,1,0,1,0,2,0,1,3,1,0,4,0,1,1,1,2,2,0
"전북","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전북","5> ML≥4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전북","4＞ML≥3",1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"전북","3＞ML≥2",3,1,0,0,0,2,0,1,3,1,0,3,0,1,0,1,2,2,0
"대전·충남·세종","계",4,5,5,2,1,4,2,2,2,5,2,1,1,0,2,6,3,4,0
"대전·충남·세종","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대전·충남·세종","5> ML≥4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대전·충남·세종","4＞ML≥3",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0
"대전·충남·세종","3＞ML≥2",4,4,4,2,1,4,2,1,2,5,2,0,1,0,2,4,3,4,0
"충북","계",1,2,1,0,2,2,3,0,0,0,1,1,3,0,1,0,2,4,2
"충북","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충북","5> ML≥4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충북","4＞ML≥3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충북","3＞ML≥2",1,2,1,0,2,2,3,0,0,0,1,1,3,0,1,0,2,4,2
"강원","계",2,2,0,2,1,3,6,0,0,0,2,1,0,0,1,1,1,2,0
"강원","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원","5> ML≥4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"강원","4＞ML≥3",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원","3＞ML≥2",2,2,0,2,0,2,5,0,0,0,2,1,0,0,1,1,1,2,0
"제주","계",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
"제주","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"제주","5> ML≥4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"제주","4＞ML≥3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"제주","3＞ML≥2",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
"서해","계",10,13,14,8,10,9,4,12,14,4,13,11,52,12,7,6,19,21,16
"서해","ML≥5",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"서해","5> ML≥4",0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"서해","4＞ML≥3",2,3,3,1,6,1,0,2,4,1,3,0,8,0,2,1,3,3,2
"서해","3＞ML≥2",8,9,8,7,4,8,4,10,10,3,9,11,42,11,5,5,16,18,14
"남해","계",2,2,4,10,9,6,2,5,10,7,10,8,5,7,12,11,18,12,11
"남해","ML≥5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"남해","5> ML≥4",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"남해","4＞ML≥3",0,0,0,1,5,0,0,1,0,2,3,3,0,1,1,0,1,0,0
"남해","3＞ML≥2",2,2,4,9,3,6,2,3,10,5,7,5,4,6,11,11,17,12,11
"동해","계",3,5,4,5,7,13,11,6,4,7,10,9,15,7,8,16,20,18,16
"동해","ML≥5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"동해","5> ML≥4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"동해","4＞ML≥3",0,1,0,1,1,3,1,1,1,1,4,2,3,2,1,1,1,0,2
"동해","3＞ML≥2",2,4,4,3,6,10,10,5,3,6,6,7,12,5,7,14,19,18,12
